Максимально покрыто букв: 25/33
Лучшие цепочки (отсортированы по весу букв в порядке убывания):

пугач, штейн, вздох, мысль, брюки       Вес: 0,8771
пугач, штейн, вздох, мысль, бирюк       Вес: 0,8771
чипсы, штейн, вздох, глубь, рюмка       Вес: 0,8771
пугач, энзим, брейк, вождь, хлыст       Вес: 0,8762
эйдос, пыжик, тренч, глубь, взмах       Вес: 0,8762
жучка, энзим, бейгл, всход, прыть       Вес: 0,8762
энзим, бейгл, всход, прыть, чужак       Вес: 0,8762
кумач, бейгл, сныть, вздох, шприц       Вес: 0,8756
чумка, бейгл, сныть, вздох, шприц       Вес: 0,8756
бейгл, чумак, сныть, вздох, шприц       Вес: 0,8756
бридж, нюхач, взыск, помет, глушь       Вес: 0,8744
бридж, нюхач, взыск, помет, глушь       Вес: 0,8744
бридж, конюх, вычет, спазм, глушь       Вес: 0,8744
чушка, энзим, бейгл, всход, прыть       Вес: 0,8740
эрбий, сычуг, кнель, вздох, штамп       Вес: 0,8740
скетч, выжим, запой, брэнд, глушь       Вес: 0,8737
эрбий, взыск, шпунт, желчь, догма       Вес: 0,8737
причт, взыск, фондю, бугай, хмель       Вес: 0,8726
кумыс, штейн, гипюр, вздох, блажь       Вес: 0,8720
кумыс, штейн, гипюр, вздох, блажь       Вес: 0,8720
плюха, взыск, штейн, обжим, грудь       Вес: 0,8720
пасюк, бейгл, штурм, жизнь, выход       Вес: 0,8720
пасюк, бейгл, штурм, жизнь, выдох       Вес: 0,8720
голыш, кижуч, степь, взмах, брэнд       Вес: 0,8713
сычуг, йодль, изюбр, эвенк, штамп       Вес: 0,8707
жучка, штейн, гипюр, вздох, мысль       Вес: 0,8706
жучка, штейн, гипюр, вздох, мысль       Вес: 0,8706
штейн, гипюр, вздох, мысль, чужак       Вес: 0,8706
штейн, гипюр, вздох, мысль, чужак       Вес: 0,8706
кумжа, бейгл, сныть, вздох, шприц       Вес: 0,8705
бейгл, цыпка, всход, штурм, жизнь       Вес: 0,8705
